Gene,FM_mean,HC_mean,FC,d_cohen,p_MW,p_Welch,p_female_only,p_male_only,p_sex_adjusted,Robust_5of5
CTDP1,1.953,2.4698,0.791,-0.179,0.00334959,0.21940123,0.02164584,0.73226424,0.77408002,2
CAPN2,40.7271,51.1906,0.796,-0.268,0.00048623,0.06667293,0.0062536,0.96729961,0.77409256,2
KDM4C,25.4039,29.6642,0.856,-0.089,0.77290268,0.54275091,0.83253123,0.96729961,0.77455432,0
RPF1,5.7177,7.5364,0.759,-0.236,0.49846864,0.10832295,0.40315806,0.55520734,0.7746951,0
FAM104A,1.9649,2.1307,0.922,-0.067,0.32702045,0.64809863,0.47733682,0.66183321,0.77495131,0
MAZ,120.9473,155.5792,0.777,-0.274,1.329e-05,0.06025269,0.001172,0.55520734,0.77497204,2
DCTN3,9.9207,14.4869,0.685,-0.315,0.0031137,0.03227145,0.13751424,0.77391449,0.77503415,2
SNRNP48,0.8422,0.7389,1.14,0.112,0.94909642,0.44281585,0.09694101,0.50731621,0.77555064,0
LATS1,10.8599,12.2579,0.886,-0.146,0.0417484,0.31539153,0.20104747,0.6120509,0.77555822,1
FBXL13,2.2298,4.0085,0.556,-0.212,0.22266058,0.15078437,0.11786616,0.51871531,0.77581037,0
PRR13,12.6113,20.4611,0.616,-0.292,0.05566206,0.04780492,0.75296996,0.96729961,0.77604915,1
PRKAB1,6.4757,8.2849,0.782,-0.23,0.01673756,0.11610544,0.39491224,0.77391449,0.77613351,1
CTNNBL1,6.5694,8.664,0.758,-0.279,0.00077038,0.05589731,0.05328398,0.816179,0.77623838,1
IRS2,8.9183,11.7002,0.762,-0.253,2.49e-06,0.08238499,0.00027895,0.50091734,0.77627573,2
PSMA1,2.4406,4.3911,0.556,-0.233,0.07893143,0.11342075,0.03009674,0.85449267,0.77627709,1
TMEM91,10.9571,17.2728,0.634,-0.324,2.048e-05,0.0272066,0.00063147,0.41673557,0.77670108,3
ANKK1,1.8716,1.2691,1.475,0.225,0.00284708,0.12272735,0.10769253,0.30310355,0.77680639,1
SMARCC2,26.189,30.1694,0.868,-0.203,0.01255488,0.16365813,0.02900568,0.11983122,0.77686422,2
GDPD5,9.0696,9.8261,0.923,-0.088,0.02869702,0.54720257,0.06958692,0.15044329,0.77726044,1
FKBP1A,6.3857,11.6354,0.549,-0.341,9.086e-05,0.0204086,0.00839324,0.92378602,0.7775072,3
HEATR5B,9.9041,11.2978,0.877,-0.182,0.04798452,0.21195499,0.30870609,0.94552275,0.7777208,1
APRT,82.2608,129.731,0.634,-0.307,0.0013199,0.03698112,0.02081814,0.71170446,0.77775727,3
HIRA,17.1642,21.1843,0.81,-0.232,0.00173723,0.11191568,0.00644294,0.08278988,0.77778312,2
UBR4,32.8782,40.6205,0.809,-0.282,0.00024853,0.0539679,0.01533493,0.94552275,0.77821457,2
FAM199X,2.4875,2.276,1.093,0.065,0.81597391,0.65397952,0.99215279,0.47192844,0.77824146,0
TOR1AIP1,9.7503,12.7122,0.767,-0.257,0.01038782,0.07880962,0.30405522,0.92378602,0.77831048,1
GBP5,11.3648,15.4205,0.737,-0.245,0.02002231,0.09528395,0.26640698,0.73226424,0.77887426,1
RER1,5.6359,7.2324,0.779,-0.151,0.29283355,0.30179648,0.74923847,0.74562731,0.77916042,0
HMGXB4,2.7094,3.1715,0.854,-0.131,0.56293253,0.36866634,0.85948214,0.96729961,0.77956253,0
TACC1,10.4515,14.9022,0.701,-0.341,0.00023106,0.02036819,0.00969136,0.43290855,0.77961353,3
RPL36AL,46.9948,86.4013,0.544,-0.3,0.01030852,0.04142307,0.38139397,0.98909653,0.77968719,2
ITFG1,6.203,8.1027,0.766,-0.271,0.01556239,0.06409445,0.12255859,0.57388325,0.77969631,1
RPAP2,6.754,10.6697,0.633,-0.169,0.88264677,0.24642725,0.87108487,0.7949782,0.7797556,0
ISOC1,4.0671,4.8548,0.838,-0.145,0.03621241,0.31921536,0.5036276,0.1129434,0.77979671,1
RPRD2,16.8897,18.8461,0.896,-0.119,0.00064702,0.41263142,0.02828977,0.92378602,0.78022276,2
ABHD4,5.0287,5.5565,0.905,-0.082,0.12067414,0.57266272,0.26219779,0.98909653,0.78029072,0
ST3GAL5,4.7505,5.3746,0.884,-0.131,0.04798452,0.36819482,0.4171348,0.67117575,0.78036237,1
SEMA4A,35.3246,53.3047,0.663,-0.306,6e-07,0.0364874,0.00033718,0.69133573,0.78108545,3
ELL,12.1492,13.7084,0.886,-0.092,0.00123688,0.52641351,0.00327453,0.75300697,0.78148862,2
COMMD10,5.0166,6.3795,0.786,-0.274,0.09832638,0.06199136,0.64389795,0.85894553,0.78156944,0
PHB,13.1342,16.2358,0.809,-0.189,0.00754695,0.19464147,0.06958692,0.92378602,0.78157934,1
ACOX1,6.7935,10.6173,0.64,-0.22,0.4572437,0.13592651,0.60905056,0.83750782,0.78175047,0
EEF2,1818.5204,2287.6042,0.795,-0.223,3.06e-06,0.12657172,0.00031264,0.5928362,0.78175577,2
PFDN5,80.9447,155.7307,0.52,-0.317,0.00233412,0.03130303,0.15242499,0.65123214,0.78189538,2
FZR1,29.2333,30.8231,0.948,-0.044,0.0007062,0.75969721,0.00065468,0.31330231,0.78283038,2
IFT52,4.4553,4.9305,0.904,-0.094,0.37076293,0.52033989,0.92164727,0.44626337,0.78293648,0
COPB2,4.8046,6.6143,0.726,-0.295,0.53807516,0.04525104,0.47581462,0.816179,0.78319564,1
AHCY,5.8096,7.4632,0.778,-0.238,0.00385498,0.10240644,0.03322814,0.46626286,0.78332576,2
ERAP1,12.6347,15.5261,0.814,-0.23,0.01038782,0.11607499,0.16853551,0.96729961,0.78337662,1
CHD6,8.7644,9.0172,0.972,-0.037,0.54335518,0.80033743,0.13882145,0.20613999,0.7834475,0
MTX1P1,4.111,3.648,1.127,0.045,0.77890734,0.7541351,0.53544665,0.38830867,0.78366762,0
RWDD4,3.4653,3.6224,0.957,-0.027,0.08265695,0.85046247,0.3017448,0.92378602,0.78376902,0
MPPE1,5.6237,8.6716,0.649,-0.33,0.00057527,0.02476061,0.00237307,0.69133573,0.78402995,3
RPL18AP3,30.9948,52.6535,0.589,-0.269,0.00524836,0.06727131,0.37606715,0.71170446,0.78419155,1
ARSG,7.4076,9.7534,0.759,-0.226,0.01362903,0.12254028,0.04429445,0.7949782,0.78540446,2
RBM5,21.3707,23.607,0.905,-0.113,0.32441383,0.43684093,0.60561223,0.35550187,0.78550064,0
SLAMF1,6.5958,7.3277,0.9,-0.09,0.06023143,0.53672876,0.15526355,0.57388325,0.78553948,0
WRNIP1,7.1321,9.4067,0.758,-0.258,2.447e-05,0.07702126,0.00420928,1.0,0.78576385,2
ATG5,2.4008,3.1905,0.752,-0.253,0.05012597,0.08431795,0.70494459,0.6120509,0.78581754,0
CIB1,31.0334,45.102,0.688,-0.311,0.00061016,0.0342069,0.01214269,0.90209945,0.78586767,3
ZC3HAV1,37.3896,38.4203,0.973,-0.035,0.05843846,0.80772623,0.06098541,0.1960065,0.78600688,0
NLK,6.3665,7.2823,0.874,-0.139,0.02573554,0.34123988,0.68315633,0.57388325,0.7860825,1
AGPS,2.7403,3.2346,0.847,-0.153,0.25552473,0.29529036,0.69765383,0.55520734,0.78638331,0
MPI,6.1773,5.8781,1.051,0.054,0.9649957,0.70996833,0.32053802,0.41673557,0.78641422,0
GOLGA8B,8.2897,6.8103,1.217,0.081,0.21420258,0.57954167,0.11671536,0.90209945,0.7864663,0
DDA1,4.5446,4.8798,0.931,-0.037,0.1482942,0.80171759,0.37871236,0.71170446,0.78681532,0
HBA1,1547.8993,3437.9738,0.45,-0.109,0.65403509,0.45821857,0.94902704,0.16766616,0.786853,0
CDCA7L,5.3323,5.3866,0.99,-0.005,0.45242862,0.97140683,0.11557341,0.96729961,0.78688067,0
PRKCE,5.6343,6.8821,0.819,-0.135,0.22877218,0.35763293,0.37606653,0.98909653,0.7869072,0
SLC31A2,1.6998,3.1936,0.532,-0.263,0.75591786,0.07417,0.85524288,0.83167332,0.78709997,0
GIGYF2,7.3045,8.0377,0.909,-0.155,0.16220754,0.28915123,0.04481614,0.14231835,0.78712396,1
P4HB,41.4135,60.2707,0.687,-0.38,2.99e-06,0.00972998,0.0011924,0.90209945,0.7871997,3
ZNF383,1.2822,1.4797,0.867,-0.136,0.82424613,0.35357369,0.27066179,0.73226424,0.78726615,0
UQCRQ,13.84,24.3398,0.569,-0.266,0.00018143,0.07072245,0.05208296,0.88048261,0.78759543,1
BNIP3,2.346,2.4663,0.951,-0.041,0.74757487,0.77772461,0.83251917,0.77391449,0.78775601,0
IAH1,7.6975,9.0664,0.849,-0.141,0.00207954,0.33386015,0.05832177,0.57388325,0.78803033,1
ELP2,6.8735,6.9651,0.987,-0.01,0.76071756,0.94321244,0.80577533,0.69133573,0.78818481,0
HMGN2,6.1021,7.7556,0.787,-0.237,0.02435653,0.10602858,0.17006065,0.34107567,0.78822216,1
SNRNP27,1.3866,1.5345,0.904,-0.073,0.27629298,0.61685485,0.61232864,0.13784383,0.78829416,0
ARHGEF7,17.0288,16.9845,1.003,0.003,0.10385995,0.98459072,0.0252535,0.11983122,0.78830652,1
VPS28,2.8715,4.2755,0.672,-0.228,0.00124564,0.11932099,0.00183876,0.52481318,0.78834189,2
ISG15,24.932,35.5827,0.701,-0.161,2.657e-05,0.26827791,0.00420928,0.34107567,0.78841508,2
COQ4,11.3635,13.5381,0.839,-0.172,7.279e-05,0.23846509,0.00105619,0.48343223,0.78858919,2
FXN,0.2608,0.4849,0.538,-0.21,0.4371444,0.15298366,0.17395171,0.87626446,0.78879771,0
SNRNP40,10.3168,10.9859,0.939,-0.065,0.38372143,0.65325748,0.29489377,0.10004523,0.78881128,0
FUT8,4.0717,4.1569,0.98,-0.027,0.22877301,0.8553545,0.40039969,0.43290855,0.78902177,0
SEC61B,10.622,17.7051,0.6,-0.283,0.03028446,0.05467915,0.10674941,0.73226424,0.78933232,1
DDX49,10.2611,12.0271,0.853,-0.155,0.05398328,0.28814478,0.23596257,0.77391449,0.78977936,0
CPNE3,3.8661,4.5384,0.852,-0.19,0.21567805,0.19333265,0.84790968,0.98909653,0.78979079,0
HIGD2A,51.1915,81.4641,0.628,-0.352,0.00021029,0.01693399,0.02081814,1.0,0.78992027,3
CDC14A,9.6694,10.476,0.923,-0.078,0.58284542,0.59163219,0.43717118,0.48343223,0.79001341,0
POGZ,16.6729,19.1574,0.87,-0.211,0.05879346,0.14823425,0.22263099,0.63152163,0.79009349,0
SREK1,13.6798,13.4934,1.014,0.014,0.90789186,0.92092544,0.50049595,0.51871531,0.79039139,0
MAPKAPK2,22.6062,29.1593,0.775,-0.194,1.02e-06,0.18343001,0.00037038,0.85894553,0.79050545,2
PIAS3,8.0889,8.8242,0.917,-0.136,0.04337705,0.35128255,0.37342105,0.90209945,0.79081275,1
MFAP3,1.0103,1.0766,0.938,-0.056,0.5883325,0.69977206,0.87883578,0.55520734,0.79127965,0
SLC43A1,7.9152,9.9424,0.796,-0.164,0.00856016,0.26120109,0.0316355,0.85894553,0.79149946,2
SP8,0.3984,0.4011,0.993,-0.004,0.19804716,0.97600806,0.89233215,0.02865537,0.79150111,1
ZNF384,17.1755,21.1665,0.811,-0.243,0.00065976,0.09508272,0.02430613,0.71170446,0.79156151,2
LZIC,3.3827,5.695,0.594,-0.209,0.43804259,0.15434061,0.99803795,0.98873633,0.79185648,0
OMA1,9.32,11.7232,0.795,-0.28,0.00856016,0.05623597,0.44592501,0.385418,0.79233712,1
ANKFY1,8.6631,9.5885,0.903,-0.131,0.0577338,0.37033325,0.31340376,0.51871531,0.7923811,0
CNOT6,9.793,13.1784,0.743,-0.22,0.00499525,0.13164314,0.1510206,0.73226424,0.7924144,1
NCBP1,6.9375,7.7816,0.892,-0.138,0.38372143,0.34376129,0.08000424,0.12701804,0.79264674,0
NARF,11.8213,14.2581,0.829,-0.193,0.18843127,0.18662954,0.44886499,0.83750782,0.79282327,0
TAF12,1.1492,1.8052,0.637,-0.278,0.77188162,0.05937116,0.279298,0.44942115,0.79304743,0
MAU2,27.8266,32.0856,0.867,-0.151,0.02644998,0.29922143,0.05032394,0.73226424,0.79313505,1
TTLL4,9.9374,12.5294,0.793,-0.238,0.00034889,0.102263,0.11444026,0.48343223,0.79320609,1
PFN1,209.1322,420.9375,0.497,-0.322,0.00035969,0.02951561,0.01899191,0.67117575,0.79396084,3
MT2A,31.7449,61.6297,0.515,-0.275,0.00342219,0.06138424,0.2116404,0.67117575,0.79448185,1
ACAA1,12.7428,14.827,0.859,-0.16,0.02103747,0.27110626,0.03488891,1.0,0.79473502,2
SNAPC3,3.703,4.0214,0.921,-0.096,0.69679559,0.51245532,0.73067243,0.4009022,0.79473612,0
PCBP2,172.4311,235.9046,0.731,-0.281,2.83e-06,0.05466139,0.0052191,0.48343223,0.79500404,2
SLC25A40,6.4657,5.702,1.134,0.07,0.4210697,0.62743345,0.3552226,0.71170446,0.79515378,0
MAP4K5,8.2773,8.5279,0.971,-0.036,0.73853389,0.8030046,0.34257252,0.69133573,0.79522124,0
IL6ST,12.409,13.4418,0.923,-0.084,0.63875412,0.5638608,0.90215484,0.44942115,0.79532207,0
TMEM181,18.72,27.2097,0.688,-0.183,0.08455782,0.21094107,0.32535272,0.11983122,0.79556612,0
RPUSD3,9.0261,10.7156,0.842,-0.164,0.01322939,0.26112662,0.08977836,0.98909653,0.79581721,1
TAB3,5.6268,7.5177,0.748,-0.344,0.01352814,0.01940177,0.07749417,0.41673557,0.79614286,2
BUD31,1.2155,2.597,0.468,-0.31,0.78146198,0.03600889,0.73048986,0.26073224,0.79623656,1
TOX4,27.0063,32.8818,0.821,-0.217,0.00078536,0.13643562,0.07111304,0.5928362,0.79630016,1
IKZF1,112.5609,127.7388,0.881,-0.139,0.01988084,0.33958596,0.05268061,0.5928362,0.79638589,1
CBFB,5.9034,6.1656,0.957,-0.039,0.17326739,0.78598073,0.33143626,0.73226424,0.79644369,0
FAM8A1,8.8509,11.6019,0.763,-0.218,0.00588457,0.13563572,0.01707771,0.71170446,0.7964751,2
ARID1A,48.7925,65.6035,0.744,-0.335,3.435e-05,0.02228057,0.00606929,0.94552275,0.79668227,3
HEATR6,5.7916,6.4445,0.899,-0.15,0.02272333,0.30269888,0.05832177,0.44942115,0.79698931,1
KCTD10,4.1927,6.047,0.693,-0.288,0.06281798,0.05045262,0.16551498,0.50091734,0.79720484,0
HNRNPH3,3.899,4.3787,0.89,-0.1,0.48672991,0.4947983,0.42280292,0.23864024,0.79777601,0
DYNC1LI1,9.6224,11.5914,0.83,-0.15,0.00273385,0.30198558,0.03322814,0.73226424,0.79790348,2
ADAP2,7.0459,10.072,0.7,-0.313,0.00079904,0.03285634,0.18576519,0.57262342,0.79812013,2
RAB21,1.2215,1.4102,0.866,-0.108,0.50524422,0.46001641,0.43717118,0.51871531,0.7982007,0
SMARCA2,28.1219,30.7458,0.915,-0.109,0.06281798,0.45394394,0.30405522,0.90209945,0.7982778,0
PRKCB,70.2198,94.2102,0.745,-0.23,0.00036706,0.1153788,0.07585671,0.73226424,0.79847731,1
ABHD14A,13.4538,17.7018,0.76,-0.142,0.17964685,0.33101104,0.58854771,0.75300697,0.79874271,0
RIC8B,2.3082,2.0946,1.102,0.074,0.82735311,0.60884905,0.85176385,0.96729961,0.79882286,0
CYB5B,1.501,1.3766,1.09,0.069,0.95651508,0.63385227,0.41289148,0.68249626,0.79909236,0
CNDP2,11.6597,14.3905,0.81,-0.216,0.00101588,0.13799175,0.01801255,0.385418,0.79932927,2
HDAC6,13.8106,13.3581,1.034,0.031,0.06357364,0.83191324,0.1035839,0.43290855,0.80015715,0
FXR1,23.6222,23.9223,0.987,-0.009,0.4210697,0.94863209,0.67595076,0.88048261,0.80034139,0
MZT2B,25.9398,39.0162,0.665,-0.269,0.03597648,0.0667906,0.23791224,0.88048261,0.80035208,1
SFMBT2,12.3716,16.7876,0.737,-0.182,0.01274442,0.214966,0.09071265,0.88048261,0.80082501,1
NARS2,3.4017,4.4308,0.768,-0.2,0.39028811,0.17323297,0.87689681,0.45472891,0.80095585,0
SBDS,6.4192,7.6886,0.835,-0.129,0.43189752,0.37901165,0.05964126,0.4009022,0.80097367,0
QRICH1,3.276,4.1929,0.781,-0.123,0.15982373,0.40128153,0.14550152,0.5928362,0.80134376,0
XRCC5,18.4177,25.2897,0.728,-0.329,0.02681358,0.02530708,0.45775063,0.98909653,0.8015777,2
MED8,6.1078,7.1541,0.854,-0.14,0.03413441,0.33560778,0.0651678,0.92378602,0.80173143,1
CST7,105.2414,155.2347,0.678,-0.216,0.00278192,0.14111292,0.01777473,0.44942115,0.80185655,2
DAPK1,16.414,21.6894,0.757,-0.354,2.688e-05,0.01588857,0.03202739,0.63152163,0.80185994,3
NBAS,10.0447,10.3945,0.966,-0.048,0.43972948,0.74172099,0.21525949,0.32701011,0.80204517,0
TM9SF3,7.8716,10.4648,0.752,-0.247,0.00984395,0.09066533,0.06304863,0.77391449,0.80226544,1
RNF5P1,1.6228,1.8317,0.886,-0.073,0.68588008,0.61502413,0.9040455,0.38950333,0.80240489,0
TM9SF4,14.7587,19.4602,0.758,-0.288,0.00090662,0.04888297,0.07832363,0.83750782,0.80251178,2
GBF1,17.5142,20.4287,0.857,-0.181,0.00204271,0.21290898,0.01618571,0.370282,0.80272156,2
AEN,3.3471,3.4262,0.977,-0.014,0.04148169,0.92189415,0.01825254,0.16766616,0.80322393,2
PDLIM1,16.5547,18.7749,0.882,-0.072,0.0022529,0.61942651,0.15669779,0.98909653,0.803396,1
PAFAH1B3,3.9487,6.2319,0.634,-0.27,0.01347446,0.06559888,0.12076515,0.74562731,0.80380171,1
DNMBP,4.799,5.1476,0.932,-0.09,0.00293082,0.53581083,0.02028135,0.21662026,0.80383746,2
CRY2,11.8348,12.7282,0.93,-0.086,0.23922412,0.55589999,0.19589842,0.385418,0.80401528,0
TSPAN2,1.7678,3.0489,0.58,-0.253,0.88053301,0.08591954,0.75296373,0.98873633,0.80403395,0
SCARNA10,227.0323,348.786,0.651,-0.17,0.00516273,0.24797357,0.07832363,0.04769022,0.80403563,2
PPBP,83.8954,109.2064,0.768,-0.097,0.00056406,0.50681076,0.01472292,0.65123214,0.80406473,2
SLC22A1,3.1102,2.6519,1.173,0.161,0.32050937,0.26934589,0.53875382,0.5073575,0.80408481,0
FNTA,4.6762,7.1894,0.65,-0.229,0.60772106,0.11911787,0.28259547,0.48343223,0.8043841,0
SRSF4,5.1921,5.642,0.92,-0.059,0.45563549,0.68812417,0.1794334,0.63152163,0.80439246,0
LCP2,27.3607,34.2767,0.798,-0.253,0.05532287,0.08403717,0.23209719,0.63152163,0.80471161,0
TRAK1,15.7096,18.888,0.832,-0.188,0.00015466,0.19613154,0.004478,0.23864024,0.80526079,2
GALNT11,4.5061,4.8192,0.935,-0.06,0.77290268,0.67905348,0.66519801,0.4009022,0.80526801,0
STK4,14.6231,18.3117,0.799,-0.199,0.09047166,0.17331586,0.04078424,0.10004523,0.80530305,1
RMND5B,6.0972,5.7608,1.058,0.052,0.28918991,0.72083966,0.16551498,0.5928362,0.80545773,0
NBPF3,0.926,0.8302,1.115,0.076,0.32705972,0.60047717,0.41390286,0.39613385,0.80581239,0
MRPS10,0.6137,1.0561,0.581,-0.224,0.06067919,0.12803036,0.0146326,0.40182064,0.80585613,1
PML,29.4177,32.8709,0.895,-0.116,0.00263997,0.42372978,0.02758914,0.94552275,0.80626168,2
NIT1,3.2234,3.4213,0.942,-0.063,0.35674002,0.6635072,0.89437142,0.4009022,0.80641715,0
TMEM69,5.922,8.6386,0.686,-0.338,0.00017389,0.02131652,0.02936945,0.34107567,0.80651313,3
ZNFX1,32.8145,38.2165,0.859,-0.123,0.00037838,0.39893776,0.01801255,0.83750782,0.80661161,2
MYO5A,5.7322,6.5744,0.872,-0.168,0.08265749,0.24911892,0.09165474,0.18622027,0.80725063,0
VPS37A,6.8683,7.9781,0.861,-0.151,0.39544623,0.30042966,0.89048347,0.88048261,0.80735037,0
LRRC57,1.7406,2.1203,0.821,-0.139,0.18843049,0.34085575,0.55182255,0.1129434,0.80736162,0
CCDC30,1.0511,0.9393,1.119,0.142,0.23187363,0.32905112,0.62288984,0.35550187,0.80774262,0
OSBPL8,9.4293,12.0721,0.781,-0.212,0.77697699,0.14896061,0.86334665,1.0,0.80812056,0
ZBTB1,2.7812,2.7976,0.994,-0.007,0.81390941,0.95997338,0.47277707,0.7949782,0.80882022,0
FAHD2A,2.4605,2.3406,1.051,0.033,0.08124752,0.821428,0.29034789,0.27434987,0.80885997,0
ARHGAP19,1.6139,1.756,0.919,-0.075,0.84812813,0.6047743,0.5419774,0.00744715,0.80932493,1
AZIN1,5.9419,6.6591,0.892,-0.119,0.00560385,0.41291475,0.04030257,0.98909653,0.80951978,2
SPIB,19.2097,22.3933,0.858,-0.095,0.02402203,0.514742,0.71593153,0.20613999,0.80960453,1
CD33,28.7586,52.2423,0.55,-0.392,2e-08,0.00754892,0.00016859,0.51871531,0.80984848,3
DPCD,2.6354,2.556,1.031,0.019,0.63494898,0.89355927,0.64742118,0.83244093,0.8099054,0
RPL5,77.9693,114.7833,0.679,-0.247,0.09251532,0.09198894,0.7343735,0.63152163,0.81031085,0
TMED3,9.7406,15.6353,0.623,-0.386,1.518e-05,0.00868775,0.01640479,0.83750782,0.81050787,3
KIAA2013,50.6117,64.3861,0.786,-0.219,4.33e-06,0.13216423,0.00154059,0.7949782,0.81089993,2
PJA2,7.3717,9.305,0.792,-0.286,0.09832698,0.05175535,0.7343735,0.71170446,0.81093731,0
GABARAPL1,2.6484,3.646,0.726,-0.23,0.1779317,0.11704688,0.84790988,0.98909653,0.81115975,0
RASSF4,15.5548,18.9957,0.819,-0.183,0.03940265,0.20986089,0.17784525,0.18622027,0.81171021,1
ACSL5,6.6897,7.8021,0.857,-0.177,0.0651075,0.22617374,0.20629456,0.75300697,0.8124351,0
LATS2,3.6179,4.3434,0.833,-0.197,0.01918648,0.17584777,0.17006121,0.85894553,0.81249572,1
ATXN7,18.7764,21.1922,0.886,-0.17,0.03597648,0.24325172,0.10999486,0.6120509,0.81307417,1
VPS37C,2.5674,3.2767,0.784,-0.212,0.00890023,0.14565035,0.03661759,0.90209945,0.81320774,2
ALAS2,1.7936,4.3075,0.416,-0.136,0.00066321,0.35572762,0.00425681,0.56300676,0.81332601,2
CD52,629.8094,1017.2066,0.619,-0.254,0.00133217,0.0842232,0.2080655,0.6120509,0.81339663,1
ZNF649,3.2407,3.4708,0.934,-0.069,0.97347797,0.63477302,0.59876179,0.16766616,0.81354262,0
NICN1,1.0284,0.9639,1.067,0.036,0.8378893,0.80310927,0.8180758,1.0,0.81364891,0
BLOC1S1,15.2206,29.6864,0.513,-0.268,0.00529157,0.06845231,0.14146249,0.83750782,0.81380595,1
NPRL3,14.0794,15.5727,0.904,-0.084,0.01544897,0.56270137,0.05702662,0.50091734,0.81382076,1
NDST1,28.2573,46.1684,0.612,-0.287,0.0,0.04963979,1.475e-05,0.46626286,0.81383826,3
MTF2,3.1795,3.0692,1.036,0.038,0.2127346,0.79490322,0.12495892,0.23864024,0.8141984,0
UHRF1BP1L,7.0156,9.3448,0.751,-0.255,0.02163746,0.0814892,0.23402423,0.65123214,0.81484404,1
RAB14,1.342,1.5454,0.868,-0.118,0.09246258,0.42017669,0.14010925,0.95498307,0.8148668,0
IPPK,1.5289,1.4031,1.09,0.06,0.74856083,0.67903671,0.50356135,0.5441589,0.81497231,0
UGGT1,6.7615,8.3794,0.807,-0.247,0.13954776,0.09256591,0.27713094,0.4009022,0.81532247,0
SLC25A44,2.7679,4.1898,0.661,-0.298,0.00036706,0.04222728,0.04225864,0.65123214,0.81560663,3
IDH3A,2.3955,3.0077,0.796,-0.176,0.75666855,0.22902206,0.90604964,0.18622027,0.81582553,0
TRIP11,6.9842,5.2447,1.332,0.102,0.72852062,0.48043537,0.40593271,0.57388325,0.81645885,0
SHISA4,1.3396,1.5976,0.838,-0.125,0.28010122,0.39209226,0.02812182,0.20814706,0.81661123,1
ZMYND11,2.6798,3.0397,0.882,-0.116,0.51121155,0.42897973,0.35266928,0.48343223,0.81662765,0
ATP11C,2.6057,2.4242,1.075,0.093,0.45082999,0.52506393,0.87495891,0.94552275,0.81666039,0
TMF1,6.0869,7.0194,0.867,-0.17,0.10729671,0.24480163,0.54526978,0.71170446,0.81674056,0
BSCL2,10.2344,12.0629,0.848,-0.126,0.05464965,0.38650564,0.1794334,0.09402198,0.81681725,0
WDR45,10.559,15.3058,0.69,-0.302,0.01489269,0.04008006,0.0680878,0.55520734,0.81693967,2
TTC9C,7.6479,9.2955,0.823,-0.156,0.06169843,0.28456797,0.5953498,0.50091734,0.81706832,0
GTF2F1,11.1295,15.1167,0.736,-0.324,5.87e-06,0.02674032,0.00261623,0.75300697,0.81731376,3
ARNT,7.6288,9.7806,0.78,-0.279,0.00333541,0.05627059,0.05897845,0.816179,0.81739029,1
OSTC,5.513,8.1686,0.675,-0.277,0.02869702,0.05843128,0.11331587,0.46626286,0.81769008,1
SEC62,4.7255,5.2192,0.905,-0.091,0.71457937,0.53293956,0.69401733,0.83750782,0.81770364,0
CCNL1,36.6777,42.9015,0.855,-0.15,0.00211697,0.30397918,0.02221459,0.65123214,0.81792833,2
SELENBP1,1.044,1.4568,0.717,-0.069,8.376e-05,0.63856302,0.00020453,0.54395649,0.81850856,2
LRRC37B,8.7235,8.897,0.981,-0.027,0.76883462,0.85152434,0.96469851,0.7949782,0.81855292,0
ZDHHC7,34.4431,52.9032,0.651,-0.313,1.4e-07,0.03250894,0.00014976,0.75300697,0.81871279,3
STOM,8.5383,9.9884,0.855,-0.114,0.00412406,0.43270857,0.10568704,0.92378602,0.81884712,1
ATXN10,6.8456,9.3082,0.735,-0.255,0.00191849,0.08103529,0.07504863,0.90209945,0.81904065,1
SOS2,10.7124,15.8947,0.674,-0.297,0.13812844,0.04467939,0.33266249,0.90209945,0.81908918,1
CPSF2,3.9463,4.3029,0.917,-0.088,0.79538589,0.54660989,0.97253975,0.27434987,0.81917311,0
RAB33A,2.8371,2.9465,0.963,-0.023,0.41544857,0.87425219,0.34410808,0.98871634,0.81923125,0
INTS7,5.1464,5.4168,0.95,-0.074,0.47186025,0.60908523,0.8095847,0.96729961,0.81956686,0
ZBTB39,3.7357,3.3457,1.117,0.066,0.31535636,0.64907556,0.12255859,0.44942115,0.81973578,0
WDR1,77.1432,108.2282,0.713,-0.327,0.00020809,0.02565632,0.01394045,0.90209945,0.8204494,3
LCOR,3.5169,3.6356,0.967,-0.028,0.21371258,0.84497871,0.68315633,0.63152163,0.82048941,0
GOLPH3,10.6357,14.0607,0.756,-0.239,0.01054804,0.10156961,0.04176225,0.88048261,0.82061667,2
ALG3,8.8051,11.6327,0.757,-0.267,0.07239212,0.06900203,0.27931054,0.41673557,0.82076892,0
MYL12B,41.8554,71.4058,0.586,-0.331,0.00095981,0.02505629,0.07667188,0.57388325,0.82081064,2
ACP2,10.0374,11.2391,0.893,-0.109,0.04981523,0.45317643,0.32535272,0.41673557,0.82087928,1
PDZK1IP1,5.4101,6.6199,0.817,-0.097,0.55746207,0.50792605,0.62627178,0.88781575,0.82091937,0
PFKFB4,10.498,15.669,0.67,-0.226,0.00181757,0.12362677,0.01265913,0.73226424,0.82104237,2
RGP1,5.856,6.2223,0.941,-0.067,0.00333541,0.64488594,0.0644559,0.57388325,0.82153463,1
TRIO,11.886,12.8168,0.927,-0.121,0.28199043,0.40723419,0.3787248,0.29995754,0.82154825,0
DHRS12,1.5457,2.11,0.733,-0.201,0.02055114,0.17022498,0.90598174,0.37421673,0.82187306,1
RPS13,207.3856,335.44,0.618,-0.303,0.0005264,0.03931505,0.12862793,0.75300697,0.82267856,2
