p_group_only,p_group_sex,p_full_adj,beta_group_full,top_cell_type,top_cell_p,survives,Gene
0.7354912057242243,0.19238710104436493,0.01979237465288167,0.44179676783961014,NK_cells,0.00697088110910595,SI,TMEM150A
0.24727107060278658,0.36805082330848826,0.47095497031401296,-0.15208844045299766,Basophils,0.0015154772458844388,NO,RNF121
0.008768385423087477,0.03234335479199339,0.4998077023898385,-0.19591994016889624,T_cells_CD8,0.005257660863305454,NO,TOMM22
0.6958886522329163,0.5877361219632841,0.14209387165099424,-0.17732564533234188,Mast_cells,0.01694946744948027,NO,PTGES3P2
0.02981803827608127,0.11102627896711907,0.8239072901933729,0.04023652123838279,Mast_cells,9.217487316677165e-05,NO,ZNF443
0.009754857068830992,0.21709521036701895,0.4441275993913201,0.1468627814603681,NK_cells,4.220150875737411e-06,NO,YIPF1
0.39806868745097745,0.5353191455070574,0.4045105245242146,0.1305746009849759,Mast_cells,0.03237252562712707,NO,ZNF641
0.0021001079180536426,0.0011355608303707362,0.0002751409049315336,0.5672617756292231,NK_cells,0.03903034370814053,SI,RP11-674E16.5
7.211062192509208e-10,5.15346216758714e-05,0.004258156948982244,0.30108398883345616,Mast_cells,0.00023272029476972497,SI,SLC7A3
4.89429884768168e-06,0.0070106031314773505,0.7615797986921287,0.054355062786171866,NK_cells,2.1282339267347833e-09,NO,MAFB
0.2753370367634334,0.10974247279330224,0.12352450747073043,-0.3425553110009145,Basophils,0.01354938380132362,NO,HUS1B
7.336773131857424e-07,0.000692218001492224,0.6902196551731419,0.06714448783616311,Mast_cells,9.716657887635399e-12,NO,FGR
8.358593954270607e-05,0.0006886488963280925,0.06349925122151723,0.2282400181476573,Mast_cells,0.0007584128923172969,NO,ZNF806
0.33956886670631964,0.4881698485603029,0.9701787979015241,0.005948636232987102,Basophils,0.015489061008244763,NO,SIGLEC6
0.00015981604820921252,0.0012462518353636746,0.02932917094560208,0.29693366117451936,Dendritic_cells,0.00011518550161032096,SI,RPS4XP13
2.91525690888641e-06,0.0017440995211272289,0.24981816106401375,0.15129586292084476,Mast_cells,0.00021786558777252082,NO,EGFLAM
0.005559751015873679,0.016774538370072898,0.544750915817698,0.09438464174830291,Eosinophils,0.0019473386028622504,NO,AP3B2
8.827913987270177e-09,2.8516335499272047e-05,0.42231838014971335,-0.12424830770024128,Mast_cells,1.2293434983719029e-08,NO,C15orf39
1.2100799344589954e-06,1.6581730645926348e-06,0.0005138283742693665,-0.6034352498217023,Mast_cells,0.00013141598341258833,SI,PIK3CD-AS1
0.0322406194956386,0.522846753865618,0.5836154292371333,0.11248627281684244,Basophils,0.0012710709740160646,NO,RAN
0.23938389636846513,0.4292068399011563,0.6731966836225316,-0.07897505614520511,NK_cells,0.004394518967831947,NO,MRPS27
0.00425182366348472,0.07573216045534953,0.5919951755534314,0.07621065965203898,Mast_cells,0.0037944923291556502,NO,NRP2
0.0009094650667291111,0.08951750664619898,0.4903169776145677,0.11794352950810695,NK_cells,4.060775661899705e-07,NO,FOXK2
1.2375037911247286e-08,8.463445435799186e-06,0.0007775658161004505,0.32107251955701854,Mast_cells,2.3043298120897815e-09,SI,CFAP57
2.7515495074118367e-06,6.498998502872792e-05,0.0025608288800193844,-0.5449797326646442,Mast_cells,0.0018333654200614763,SI,RPUSD1
0.23778448523677562,0.5222598882110859,0.9255051983884441,0.015226084710933712,Basophils,0.007358608071160322,NO,SSXP10
0.021399349942419824,0.016175730767819856,0.09222604213143035,0.23334494805952077,T_cells_CD8,0.0048247648156358,NO,LINC00239
8.056582923738034e-07,2.650284075573572e-05,0.06564521391823577,-0.37697660918396436,Mast_cells,0.0003901020104898044,NO,LPAR2
0.0026274993807257735,0.019764295053828807,0.5951860165388008,0.05953673758036234,Mast_cells,0.000254929990849291,NO,TUBB2B
0.5495635765669169,0.7102674631215886,0.01143775956941193,0.22960474722166277,NK_cells,0.0037116283092643,SI,GAPDHP71
0.003659006164917771,0.15258730008555424,0.5363971177384275,-0.04257214646899585,Eosinophils,1.1650508190284276e-05,NO,YAP1
0.9566126436360831,0.6050195993970061,0.9519055330173826,0.0076248826118283574,Platelets,0.16473442441913905,NO,ANKRD46
0.3335602692375612,0.8249686674615325,0.04587813033073736,0.27737152151950656,Mast_cells,0.00012592292762756267,SI,OSBP
0.8834657523808902,0.2375196100742793,0.1694659019539905,-0.15078091735185295,Dendritic_cells,0.020101199407023665,NO,LAMTOR5-AS1
0.0013164824631534597,0.029896492219833735,0.9725210140282234,-0.0030471321409874796,Mast_cells,0.0003098959109488887,NO,ASZ1
0.001607242832535907,0.05777557906213934,0.5753133062800522,0.08335199735803756,NK_cells,6.12307663212203e-07,NO,PXK
0.022508813932636398,0.08160577187975826,0.1122999391770741,0.3136496030850489,NK_cells,0.007883797818019745,NO,RP11-697E2.6
0.905854417708257,0.34437144266581815,0.9751809315686906,-0.008166535694227844,B_cells,0.012939478680389006,NO,CLDN15
0.005064980143216727,0.00791747320350778,0.09874903599105864,-0.34379651591528865,Mast_cells,0.01548879488450517,NO,ILVBL
1.7381572524518513e-09,4.643385959897051e-06,0.0007399567194411053,0.3459415978708707,Mast_cells,1.3326757046352612e-05,SI,LCT
0.008020945102248232,0.03002821345114086,0.18920890057443562,-0.3878952493059327,T_cells_CD4,0.05632746572575154,NO,RP11-20I23.1
0.02747772053632077,0.09438606991275349,0.7145270140019448,-0.058872210472077455,NK_cells,0.0010541257631225501,NO,STAM
0.029207976027076928,0.015700268885673885,0.16870732880174802,-0.23179698011761568,Basophils,0.0016963525427030528,NO,ITFG2
0.011859253763151124,0.10702273710370624,0.8847148308216544,0.025764367252912777,Platelets,0.00015781559813225386,NO,MMD
0.00047909789421685806,0.0001891824043224897,0.012646157234678644,-0.4604479551659119,B_cells,0.0007962467807925064,SI,HEXD
0.5431850886451063,0.6717809991571313,0.9107734582795401,-0.016327765548102717,Platelets,0.04148363369643876,NO,ZNF322
9.310716635384724e-05,0.002702971250726164,0.47838926550970756,0.08168723267765311,Mast_cells,0.0005147205471748593,NO,SPINK5
0.0010086370442701396,0.05240231105310551,0.7204785452287373,-0.04344977999382038,T_cells_Treg,0.0011329235552858818,NO,SLC36A3
