gene_id,log2FC,p_value,p_adj,gene_symbol
8018097,0.181813982089551,0.0013668124332893,0.3997020299450759,FAM104A
8083246,0.1037983243781082,0.0013684725775216,0.3997020299450759,CPB1
8043446,-0.2714061572139306,0.0013924253888679,0.4031616362881434,
8053737,-0.260030214925373,0.0014955063043767,0.4172061035844097,ANKRD20B
7902977,-0.1815651243781095,0.0015115787195644,0.4172061035844097,KIAA1107
7905486,0.1056418189054744,0.0015161107166926,0.4172061035844097,CRCT1
7921358,0.2028029373134314,0.0014945953471102,0.4172061035844097,
8000779,0.0853786069651745,0.001502701731144,0.4172061035844097,TBX6
7894601,-0.2720953631840794,0.0014544246610896,0.4172061035844097,
7894731,-0.2444597552238807,0.0015541883438144,0.4177222308006807,
8072610,0.1106413333333335,0.0016711160413582,0.4177222308006807,FBXO7
8093219,-0.1113643741293524,0.001982309446052,0.4177222308006807,BDH1
7973902,-0.1220485890547262,0.0019174267964362,0.4177222308006807,SRP54
7894977,0.2887503621890541,0.0016386643881603,0.4177222308006807,
8161824,0.0912881990049783,0.002007254615374,0.4177222308006807,C9orf40
7931155,0.1038128437810943,0.0019940904016591,0.4177222308006807,FAM24A
8023314,-0.0841264318407954,0.0016057218356762,0.4177222308006807,CCDC11
7955983,0.1215021154228859,0.0016197802006004,0.4177222308006807,OR10A7
7909088,0.1735083721393042,0.0016407023186036,0.4177222308006807,TMCC2
8162833,-0.0960398726368172,0.0018594693681979,0.4177222308006807,ERP44
8091550,-0.222691725373135,0.0018926888623244,0.4177222308006807,KIAA1328
8030251,0.099056634825871,0.0019424557586449,0.4177222308006807,TRPM4
7896289,-0.3246679721393031,0.0016731694961309,0.4177222308006807,
7894935,-0.2444597552238807,0.0015541883438144,0.4177222308006807,
7894068,0.2333507562189058,0.0019358989454932,0.4177222308006807,
7895231,0.1603840199004977,0.0018565816233852,0.4177222308006807,
8145281,0.0955763781094525,0.0019977475420177,0.4177222308006807,SLC25A37
7919146,-0.1806207422885561,0.0018615281381583,0.4177222308006807,ANKRD20B
7958211,-0.1236584059701488,0.0019610908423884,0.4177222308006807,C12orf45
8038735,0.1053876597014928,0.0018954337826669,0.4177222308006807,KLK11
8117032,0.1239028338308463,0.0016462314132178,0.4177222308006807,
7973393,0.0878952457711435,0.0017165751426571,0.4177222308006807,IL25
8126434,0.0870827721393032,0.0018286857386153,0.4177222308006807,
7905145,0.1117485691542299,0.0019209517265614,0.4177222308006807,
8035793,-0.2843751701492536,0.0019432380881491,0.4177222308006807,ZNF737
7894292,0.4137126029850755,0.0018435355064957,0.4177222308006807,
8133770,-0.2315607522388054,0.0018164479311126,0.4177222308006807,CCDC146
7898894,0.2848726905472656,0.0015786703142051,0.4177222308006807,C1orf128
8163882,-0.0693050746268664,0.0017190985264009,0.4177222308006807,RAB14
7988414,-0.1994587482587055,0.0019362740441586,0.4177222308006807,GATM
7895147,0.2037237213930378,0.0018749445066208,0.4177222308006807,
8175685,0.1054465393034833,0.0016038675765518,0.4177222308006807,MAGEA5
7892968,0.2669424597014913,0.0017189367054636,0.4177222308006807,
8063583,0.210125385074626,0.0017560245421541,0.4177222308006807,RBM38
8023955,0.1653829452736328,0.0017501800156834,0.4177222308006807,BSG
8103745,0.0979074845771164,0.0017053798567442,0.4177222308006807,HAND2
8034401,-0.1446133651741288,0.0019456192839552,0.4177222308006807,ZNF564
7958056,0.0806681691542294,0.0019033076004752,0.4177222308006807,STAB2
7949971,0.2226563601990037,0.002079789561867,0.4298954060106488,CPT1A
8121349,-0.1072847004975123,0.0020915714861316,0.4298954060106488,LACE1
8061881,0.1145886587064675,0.0021312175247789,0.4327021336741742,
8006112,-0.1694439781094523,0.0021297030107231,0.4327021336741742,CCDC55
7896571,-0.2968977512437809,0.0021954489184572,0.4332043937678483,
7892863,-0.1911315820895529,0.0021639461725543,0.4332043937678483,
7894866,-0.1222794905472621,0.002263794471442,0.4332043937678483,
8059902,0.106846837810945,0.0022287965086628,0.4332043937678483,LOC93463
7896162,0.2476850208955223,0.0022519516246095,0.4332043937678483,
8138474,0.1018796218905482,0.0022168023235886,0.4332043937678483,SP8
7932186,-0.1186911681592057,0.0022364536811793,0.4332043937678483,DCLRE1C
8145291,0.1388750845771174,0.0022118448016804,0.4332043937678483,SLC25A37
7965245,0.1417196636815925,0.0022570828567348,0.4332043937678483,MKRN9P
8133856,-0.0853295323383092,0.0022133017414531,0.4332043937678483,
8021984,-0.153668167164179,0.0022849258372734,0.4347495748782551,YES1
8120022,-0.0953813691542304,0.0023019540677625,0.4355009351948266,CDC5L
8002082,0.121338093532338,0.0023323356385792,0.4362908975155877,GFOD2
8095435,0.0667820517412929,0.0023251884857323,0.4362908975155877,HTN1
8119396,0.1423601870646758,0.0024194126449348,0.4404457652580051,TSPO2
8124156,0.101921263681592,0.0024013685384755,0.4404457652580051,
8085112,0.1135161791044776,0.0024152906424465,0.4404457652580051,
8117020,-0.126812431840797,0.0024339135900373,0.4404457652580051,MYLIP
8043413,0.2361003283582112,0.0024219801691453,0.4404457652580051,RPIA
8167880,0.1210429631840801,0.0023701231598882,0.4404457652580051,PAGE5
8163107,-0.1774909671641795,0.00245857931097,0.442504407120924,MIR32
8040073,0.0996918805970139,0.0024890237027901,0.445575388343029,LOC150622
7946504,-0.1092721432835803,0.0025460676930341,0.4491623908590623,TMEM41B
