gene_id,log2FC,p_value,p_adj
7894977,0.28875036218905414,0.0016386643881603742,0.41772223080068077
8161824,0.09128819900497831,0.0020072546153740256,0.41772223080068077
7931155,0.10381284378109434,0.0019940904016591044,0.41772223080068077
8023314,-0.08412643184079549,0.0016057218356762615,0.41772223080068077
7955983,0.12150211542288591,0.0016197802006004485,0.41772223080068077
7909088,0.17350837213930426,0.001640702318603693,0.41772223080068077
8162833,-0.09603987263681724,0.0018594693681979245,0.41772223080068077
8091550,-0.22269172537313509,0.0018926888623244968,0.41772223080068077
8030251,0.09905663482587101,0.0019424557586449219,0.41772223080068077
7896289,-0.3246679721393031,0.0016731694961309351,0.41772223080068077
7894935,-0.24445975522388075,0.0015541883438144025,0.41772223080068077
7894068,0.23335075621890589,0.0019358989454932036,0.41772223080068077
7895231,0.16038401990049778,0.0018565816233852945,0.41772223080068077
8145281,0.09557637810945252,0.001997747542017759,0.41772223080068077
7919146,-0.18062074228855618,0.0018615281381583995,0.41772223080068077
7958211,-0.12365840597014888,0.001961090842388473,0.41772223080068077
8038735,0.10538765970149289,0.0018954337826669672,0.41772223080068077
8117032,0.12390283383084633,0.0016462314132178189,0.41772223080068077
7973393,0.0878952457711435,0.0017165751426571733,0.41772223080068077
8126434,0.08708277213930327,0.0018286857386153822,0.41772223080068077
7905145,0.11174856915422993,0.0019209517265614893,0.41772223080068077
8035793,-0.2843751701492536,0.001943238088149112,0.41772223080068077
7894292,0.4137126029850755,0.0018435355064957957,0.41772223080068077
8133770,-0.23156075223880546,0.001816447931112656,0.41772223080068077
7898894,0.2848726905472656,0.0015786703142051037,0.41772223080068077
8163882,-0.06930507462686641,0.001719098526400947,0.41772223080068077
7988414,-0.19945874825870558,0.001936274044158662,0.41772223080068077
7895147,0.20372372139303785,0.001874944506620847,0.41772223080068077
8175685,0.10544653930348336,0.0016038675765518442,0.41772223080068077
7892968,0.26694245970149133,0.0017189367054636195,0.41772223080068077
8063583,0.21012538507462608,0.0017560245421541034,0.41772223080068077
8023955,0.16538294527363284,0.001750180015683422,0.41772223080068077
8103745,0.0979074845771164,0.0017053798567442002,0.41772223080068077
8034401,-0.14461336517412882,0.0019456192839552918,0.41772223080068077
7958056,0.08066816915422947,0.0019033076004752562,0.41772223080068077
7949971,0.2226563601990037,0.0020797895618670697,0.42989540601064885
8121349,-0.10728470049751238,0.002091571486131637,0.42989540601064885
8061881,0.1145886587064675,0.0021312175247789463,0.43270213367417426
8006112,-0.16944397810945233,0.0021297030107231348,0.43270213367417426
7896571,-0.2968977512437809,0.0021954489184572365,0.4332043937678483
7892863,-0.19113158208955294,0.002163946172554397,0.4332043937678483
7894866,-0.12227949054726217,0.00226379447144204,0.4332043937678483
8059902,0.10684683781094506,0.002228796508662838,0.4332043937678483
7896162,0.24768502089552236,0.0022519516246095866,0.4332043937678483
