ID_REF	log2FC	pval	adj.pval	FM_mean	HC_mean
8134676	0.02747174440502742	0.18857567910488648	0.7135496162246441	3.075507910447761	3.017498266666667
8134678	0.006906515039079464	0.5730045824523738	0.8731457529047395	2.9739895522388062	2.9597863999999996
8134680	-0.0024373610980905625	0.5869507664631145	0.8778012339022875	7.845922835820894	7.859189333333334
8134689	-0.009647083236832277	0.21258650294646395	0.7236005372833553	6.386894029850747	6.429745333333333
8134699	-0.011232178772971668	0.20398121580877196	0.720254976909444	9.052402835820896	9.123155866666666
8134712	-0.001755374954513389	0.8002082844819182	0.9471208135882258	6.367574179104478	6.375326533333333
8134730	-0.013523162146209966	0.0973418489805388	0.6577086618438549	6.449726716417909	6.510467733333332
8134737	-0.010788231199275966	0.11426345017079977	0.6734585078219204	6.2209559701492525	6.2676495999999995
8134740	-0.010846642005823082	0.12159057657769018	0.6792791287857434	9.44817298507463	9.519475066666665
8134745	0.00685977152883499	0.45806562466714157	0.828850378577438	5.789260149253731	5.761798533333333
8134777	-0.008299521973904156	0.2165213761466363	0.7263297816169421	8.350475820895523	8.3986528
8134785	0.019374994454236516	0.4307088273564891	0.8177522042528566	3.813047313432836	3.7621814666666666
8134789	0.002237854834902464	0.6613454279727823	0.9046457136451096	9.183394029850747	9.169160133333332
8134814	-0.006039887912324016	0.39597226848441547	0.8041896080344972	10.51200119402985	10.556102266666668
8134821	0.0018146219576817835	0.6864340041896635	0.9128226081880215	8.216619701492535	8.206291333333333
8134827	0.006161800045260346	0.4200809844217664	0.8127440630967105	5.923540895522389	5.898295199999999
8134834	-0.00573152959047496	0.4745781044054697	0.8352905773543147	6.7152002985074635	6.741931466666667
8134856	0.0008087343979767958	0.9171774250377155	0.9803815326520657	5.518296268656716	5.515203733333333
8134869	0.004126878855077898	0.5491735867116146	0.8629211286300438	5.899785223880596	5.8829328
8134880	-0.005261609584494398	0.4904426673632361	0.8398361218020767	7.707917761194031	7.7360804000000005
8134890	0.001918687719129064	0.7302401422997431	0.9259697906913938	9.868870746268657	9.855754533333334
8134904	-0.006815387812960871	0.4459514264082182	0.8241161898940509	6.87416104477612	6.906711866666668
8134907	0.006872478668723314	0.4653086675065907	0.8319934863047445	5.498228358208955	5.472099066666666
8134915	0.002877265787155192	0.7078046149959244	0.9188849559319028	5.39934328358209	5.388585733333333
8134965	0.006282425144252812	0.3399309837034111	0.7816769312411933	8.950800149253729	8.911907333333335
8134981	-0.0061631223918485745	0.42457890043496604	0.8150502240294669	5.9227288059701495	5.948084533333333
8134992	0.00297774085802871	0.5891399663011976	0.8781397977066027	8.02264656716418	8.006104800000001
8135015	0.02033569899483867	0.08111528912456185	0.6422898237971552	5.296954029850747	5.222813866666667
8135031	0.011868337400491313	0.5982140659080465	0.8810650209817028	5.283838955223881	5.240549733333333
8135033	0.03192861494453325	0.4071279562186985	0.80869323837025	5.437274029850746	5.318262266666667
8135037	0.010056964068828833	0.3504710124551743	0.7851993878159023	3.7408147761194024	3.7148283999999996
8135048	-0.0017186652296028448	0.8623871043485155	0.9664513338407057	4.715035820895523	4.720656133333334
8135064	-0.0009696168338733102	0.8737755392863483	0.9693369252521268	8.05139880597015	8.056811866666665
