,B_cells,T_cells_CD4,T_cells_CD8,T_cells_Treg,NK_cells,Monocytes,Dendritic_cells,Neutrophils,Eosinophils,Basophils,Mast_cells,Platelets
Sample_425,0.013797790069101288,0.1010145170988886,0.23623716183271193,0.00690792552475341,0.29823817476419534,0.18234044212215147,0.04078661509506096,0.05756120024582268,0.004761853308759015,0.0072775731690558005,0.014543044136620824,0.03653370263287859
Sample_427,0.03602638059656814,0.19733433949902607,0.17406685948540546,0.012060647457536763,0.18307779239849178,0.22432579476358613,0.03250483419890257,0.08001115618700627,0.0033108071590473307,0.008316548984174318,0.006700713837400709,0.0422641254328543
Sample_429,0.01811756624044141,0.07996671203879384,0.113454195019172,0.004850690539145072,0.13366378586791813,0.3509869310227449,0.05406653280089927,0.17228150291408392,0.00013205920641764994,0.002888064559597021,0.002279665405726294,0.06731229438506034
Sample_431,0.014211647399081139,0.042766944805145216,0.1552968158141622,0.0034077787515864218,0.18467666417551917,0.40848019094180904,0.039679960045968965,0.10298473847595337,0.0016787751656560557,0.004871599971201689,0.005510111684361942,0.036434772769554785
Sample_433,0.010710282662878481,0.0555910288928261,0.0952125968348782,0.0016309798927310766,0.1166159288194909,0.5316985146455939,0.034223129492747244,0.1107013274071283,0.001319264033457502,0.004505288630495156,0.002851878865423224,0.034939779822349956
Sample_435,0.009212048145195054,0.06073553626196188,0.04277179231776908,0.002218995232039702,0.06045116832821297,0.5853967060978903,0.03381736414662203,0.1565510362687959,0.0003437396737830352,0.002385102873566989,0.0021128849830652644,0.04400362567109788
Sample_437,0.0250927830229618,0.10647453289590605,0.12355519224607883,0.00558393058561065,0.1766378691123429,0.36512926887518954,0.05076447073405749,0.08324117742952611,0.00015458233631258068,0.002973907263044661,0.0019705929059523866,0.058421692593016904
Sample_439,0.1512255076107668,0.136188999845252,0.07268781570012978,0.0012140349022534593,0.11790238113023101,0.23239308984311394,0.030928735309818975,0.0842745379482245,0.0005525792867602352,0.0013460414474674377,0.0011396319682255454,0.17014664500775611
Sample_441,0.038551810108291944,0.09977994454480202,0.16746561738160876,0.005698883419218018,0.22740010009835232,0.2065433456226576,0.08835622556986626,0.08974404451327586,7.208763998477361e-05,0.0017336538310005613,0.0013750059854339806,0.07327928128550798
Sample_443,0.02033328294968032,0.06526939160076041,0.11192481483860764,0.0024215323724267896,0.1215908580824359,0.4778779960849842,0.04388534394087094,0.09915826741320781,0.00021821204880043347,0.002550852343309537,0.001590230320994123,0.05317921800392182
Sample_445,0.020119317236984798,0.06270369178798385,0.09667171522304237,0.0023309330866213124,0.11692573553845284,0.2868398771217501,0.1476504354992701,0.17963557731143923,0.001503738137067722,0.0066013534123815784,0.006165894949144054,0.07285173069586214
Sample_447,0.008905102576129222,0.04284828996478197,0.06613707619056684,0.005476273699418153,0.08692642313036422,0.4228045928291747,0.07895476978175395,0.18073345946906696,0.002276186551410402,0.0036863397460138595,0.0031877263428707384,0.09806375971844908
Sample_449,0.02317261730027365,0.13087724131561712,0.07328763678473417,0.0016644493025660706,0.10737672824329679,0.45655399873476693,0.04835329739180063,0.11999129604480795,0.0010781241358794997,0.006122671877761409,0.007845227908538187,0.02367671095995751
