chembl_id,pref_name,smiles,molecular_weight,affinity_type,d2_affinity_nm,d3_affinity_nm,selectivity_ratio,scaffold
CHEMBL5426242,,COc1cccc2c3c(oc12)CN(CCCCOc1ccc2ccc(=O)[nH]c2c1)CC3,418.49,EC50,21.520,788.515,36.64,Other Aliphatic/Heterocyclic
CHEMBL1223748,,COc1ccccc1N1CCN(CCCCNc2nccc3ccccc23)CC1,390.53,Ki,1.000,35.500,35.50,Phenylpiperazine derivative
CHEMBL4070091,,COc1ccccc1N1CCN(CCCC(=O)Nc2ccn3ncc(C#N)c3c2)CC1,418.50,Ki,0.825,28.000,33.94,Phenylpiperazine derivative
CHEMBL1223747,,FC(F)(F)c1cccc(N2CCN(CCCCNc3ccc4ccccc4n3)CC2)c1,428.50,Ki,1.600,53.000,33.12,Other Aliphatic/Heterocyclic
CHEMBL1813592,,COc1ccc(N2CCN(CCCCOc3ccc4c(c3)NC(=O)CC4)CC2)c(OC)c1.O=C(O)C(=O)O,439.56,Ki,25.300,785.000,31.03,Other Aliphatic/Heterocyclic
CHEMBL5075726,,CCOC(=O)/C=C1\[C@@H]2CCC[C@@]1(c1cccc(O)c1)CCN2CCN1CCN(c2cccc(Cl)c2Cl)CC1,558.55,Ki,51.600,1600.000,31.01,Phenylpiperazine derivative
CHEMBL1173711,,O=C(O)C(=O)O.OC1(c2ccc(Br)cc2)CCN(Cc2c[nH]c3cccc(OCCF)c23)CC1,447.35,Ki,27.700,849.000,30.65,Other Aliphatic/Heterocyclic
CHEMBL27559,,CCCN1CCc2cccc3c2[C@H]1Cc1cccc(O)c1-3,279.38,Ki,28.500,850.600,29.85,Other Aliphatic/Heterocyclic
CHEMBL5280677,,O=C(CCCN1CCN(c2cccc(Cl)c2Cl)CC1)N1C=CN(C2CCCCC2)C(=O)C1,479.45,IC50,109.650,3235.940,29.51,Phenylpiperazine derivative
CHEMBL1223750,,FC(F)(F)c1cccc(N2CCN(CCCCNc3nccc4ccccc34)CC2)c1,428.50,Ki,1.000,29.500,29.50,Other Aliphatic/Heterocyclic
CHEMBL204065,,COc1ccc2c(c1)CCN(C)CCc1cc(OC)ccc1C2,311.43,Ki,3.560,101.500,28.51,Other Aliphatic/Heterocyclic
CHEMBL1940402,,OC1(c2ccc(Cl)cc2)CCN(CCCCc2ccc(F)cc2)CC1,361.89,Ki,24.000,667.000,27.79,Other Aliphatic/Heterocyclic
CHEMBL245571,,CN1CCc2cc(O)ccc2Cc2[nH]c3ccccc3c2CC1,306.41,Ki,74.700,2070.000,27.71,Other Aliphatic/Heterocyclic
CHEMBL3818124,,O=C1NCN(c2ccccc2)C12CCN(CCCCc1nc3cc(Cl)ccc3s1)CC2,455.03,Ki,18.100,500.095,27.63,Other Aliphatic/Heterocyclic
CHEMBL401031,,CSc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1,352.50,Ki,23.900,638.000,26.69,Other Aliphatic/Heterocyclic
CHEMBL126312,,COc1ccccc1N1CCN(Cc2ccccc2CNC(=O)c2ccc3ccccc3c2)CC1.O=C(O)C(=O)O,465.60,Ki,28.400,750.000,26.41,Phenylpiperazine derivative
CHEMBL1172208,,O=C(O)C(=O)O.OC1(c2ccc(I)cc2)CCN(Cc2c[nH]c3ncccc23)CC1,433.29,Ki,61.000,1585.000,25.98,Other Aliphatic/Heterocyclic
CHEMBL1803054,,COc1cc(CN2CCN(C)CC2)ccc1OCCCc1cn(CCCCCCCCn2cc(CCCOc3ccc(CN4CCN(c5ccccc5OC)CC4)cc3OC)nn2)nn1,893.19,Ki,8.550,220.000,25.73,Other Aliphatic/Heterocyclic
CHEMBL556496,,COc1cccc(C2CCCN(CCN3CCN(c4cccc(Cl)c4)C3=O)C2)c1,413.95,Ki,25.120,630.960,25.12,Other Aliphatic/Heterocyclic
CHEMBL1173285,,O=C(O)C(=O)O.OC1(c2ccc(I)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,432.31,Ki,3.800,94.400,24.84,Other Aliphatic/Heterocyclic
CHEMBL419792,SUMANIROLE,CN[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1,203.25,Ki,63.450,1558.500,24.56,Other Aliphatic/Heterocyclic
CHEMBL245570,,CN1CCc2ccccc2Cc2[nH]c3ccc(O)cc3c2CC1,306.41,Ki,41.025,944.000,23.01,Other Aliphatic/Heterocyclic
CHEMBL1170683,,OC1(c2ccc(Br)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,385.31,Ki,4.800,110.000,22.92,Other Aliphatic/Heterocyclic
